fact_id,component,material,china_advantage_signal,us_au_friction_signal,raw_claim_fact,confidence,fact_hypothesis_inference,missing_unknown,source_url
R041,Frame / housing / bracket,Aluminum 6061-T6 / 7075-T6,unknown,unknown,"6061-T6 and 7075-T6 aluminum are cited as typical CNC-machined materials for automation fixtures, housings, UAV brackets, robotics parts and aerospace structures; 7075-T6 can offer close to 2x the yield strength of 6061-T6.",medium,fact,none,https://titaniumseller.com/news/aerospace-titanium-supply-chain-reshaping-3d-printing-to-domestic-production/
R042,Various structural/precision parts,Steel / stainless / tool steel,unknown,unknown,"No single quantitative source was captured in this pass specifically quantifying steel/stainless/tool-steel usage ratios in robot BOMs; qualitative pattern from CNC/manufacturing-process sources is that steel and stainless are standard for gears, shafts, fasteners and high-wear parts alongside aluminum for housings.",low,inference,No source-quantified steel/stainless share of robot BOM found,https://www.fictiv.com/articles/robotic-arm-components-manufacturing
R043,Structural/actuator components,Titanium,US (import-dependent for sponge),unknown,"US has been entirely import-dependent for titanium sponge since 2020 when the last major US production facility (Henderson, NV) shut down; China's share of global titanium metal production rose from ~40% (2019) to over 75% (2025).",high,fact,none,https://www.geomechanics.io/news/article/us-titanium-capacity-squeeze-supply-chain-and-project-signals-for-engineers
R044,Structural/actuator components,Titanium,unknown,unknown,"IperionX announced (Sept 2025) scaling titanium production to 1,400 tons/year, commissioning targeted mid-2027, aiming to be largest/lowest-cost North American titanium powder producer; American Titanium Metal LLC announced an $868M facility in North Carolina (melting/rolling/finishing aerospace-grade titanium), potentially operational 2027.",medium,fact,none,https://titaniumseller.com/news/aerospace-titanium-supply-chain-reshaping-3d-printing-to-domestic-production/
R045,Motor magnets,NdFeB (neodymium-iron-boron) magnets,China controls ~85-92% of global NdFeB magnet manufacturing capacity,unknown,"China controls ~90% of global rare-earth processing and ~85-92% of global NdFeB magnet manufacturing capacity (two sources give slightly different % ranges); non-Chinese NdFeB capacity projected to reach only ~8,000-12,000 tonnes/year by 2027-2028 (~10-12% of current global demand).",high,fact,none,https://www.patsnap.com/resources/blog/articles/ndfeb-magnet-supply-chain-and-china-export-controls/
R046,Motor magnets,NdFeB magnets,China broadened NdFeB/rare-earth export restrictions to 12 of 17 REEs (2025),unknown,"On 4 April 2025 China's Ministry of Commerce introduced export restrictions on 7 rare-earth elements (later broadened to 12 of 17 naturally occurring REEs) in response to US tariffs; the mid-stream separation/metallization step (turning concentrate into magnet-grade oxides/metals) is described as the key chokepoint, consolidated in China over ~20 years.",high,fact,none,https://discoveryalert.com/china-rare-earth-magnet-exports-decline-2025/
R047,Motor magnets,NdFeB magnets,unknown,US NdFeB magnet manufacturing dependent on imports; DoD funding a single US producer,US Department of Defense awarded US$94.1M to E-VAC Magnetics to establish commercial-scale rare-earth permanent-magnet manufacturing in the United States.,medium,fact,none,https://blogs.usfcr.com/defense-industrial-base-reshoring-opportunities
R048,Motor lamination core,Electrical steel / silicon steel,Dense CN electrical-steel-lamination supplier base with sourcing-agent claiming equal quality at lower price vs domestic,unknown,"Multiple Chinese suppliers offer motor-core laminations and non-oriented/oriented electrical steel in a range of thicknesses (0.2-0.35mm) and widths (20-1250mm); one sourcing-agent firm reports 12+ years auditing QS-9000/ISO-certified lamination factories across China, Taiwan and Korea for lower price at claimed equal quality to domestic (i.e. Western) suppliers.",low,supplier-claimed,No independent lab comparison of core-loss/quality between CN and US/domestic laminations found,https://sinotech.com/products/motor-components/laminations/
R049,Housing / bracket / structural link,"Engineering plastics (PLA, PETG for hobby; higher-grade engineering plastics for production, not separately sourced this pass)",unknown,unknown,"For hobbyist-grade 3D-printed robot arms, PLA and PETG are described as 'affordable, easy to print with, and strong enough for structural components of most hobbyist-grade arms'.",medium,fact,"Production-grade engineering-plastic (e.g. glass-filled nylon, PEEK) usage in robot BOMs not separately sourced this pass",https://circuitdigest.com/articles/top-10-opensource-robotic-arms-for-beginners
R050,Battery cell / pack,Lithium-ion / LiPo cell chemistries,China cell manufacturers supply ~80% of world's battery cells,unknown,"Most drone/mobile-robot battery supply chains are global: lithium is often mined in Australia or Chile, refined in China, then manufactured into cells in Asia before reaching US drone/robot companies; Chinese companies supply ~80% of the world's battery cells.",medium,fact,none,https://dronelife.com/2026/04/29/us-lithium-drone-supply-chain/
R070,Robot arm (full assembly),"PLA/PETG (structural), hobby servos (actuation)",unknown,unknown,"The 'Pedro' open-source project is a fully open-source 3D-printable educational robot arm with 6 rotational joints and a parallel-jaw gripper, using 7x Feetech STS3215 serial-bus servos, with a stated build cost of approximately US$220.",medium,fact,none,https://orobot.io/robots/arm
