query_id,sub_id,manufacturing_sub,query,market,query_dimension,intent_class,SERP_result_type_summary,giant_platform_presence,specialist_manufacturer_presence,observed_competitor_domains,evidence_urls,notes
Q001,OBJ01,robot joint housing,robot joint housing,US,object,informational/mixed,"Patents (USPTO), engineering-guide articles, 1 CNC-shop blog page; no marketplace listings, no directory",none observed,weak-moderate (1 of 9 results is a dedicated CNC shop page),jadecnc.com; azorobotics.com; partmfg.com; rozum.com,https://www.jadecnc.com/precision-cnc-machining-for-robot-joint-housings/ ; https://www.azorobotics.com/Article.aspx?ArticleID=237,"Bare object query is informational/engineering-explainer dominated, not yet commercial. Good top-of-funnel content target but not a strong bottom-funnel RFQ query on its own."
Q002,OBJ01,robot joint housing,robot joint housing manufacturer,US,supplier,mixed,"Dominated by integrated joint-MODULE sellers (motor+gearbox+encoder assemblies), not machining-only job shops; 1 custom-mfg directory (CSMFG)",none observed (no Alibaba/Amazon in this exact result set),"present but redirected toward component brands, not CNC job shops",cubemars.com; makongear.com; igus.com; atarrobot.com; supply.csmfg.com,https://www.makongear.com/product-category/robot-joints-and-harmonic-reducers/robot-joint-module/ ; https://supply.csmfg.com/robotic-actuators/,"IMPORTANT PATTERN: adding ""manufacturer"" to a housing/component object collapses intent toward sellers of the assembled component (integrated joint module), not toward custom-machining-of-the-housing-only. Risk of building a page that ranks for the wrong buyer (integrator buying a finished joint vs. OEM needing the housing machined to their own drawing)."
Q003,OBJ01,robot joint housing,custom robot joint housing CNC machining,US,process,technical-commercial,"Dominated by CNC job-shop blog/service pages, several written specifically about robot/humanoid joint housings",none observed,"strong - JADE CNC, ptsmake, RivCut, DakingsRapid, XINQIDA, YUANYI all have dedicated content",jadecnc.com; ptsmake.com; rivcut.com; dakingsrapid.com; xinqidamachining.com; yycncmachining.com,https://www.ptsmake.com/custom-cnc-machined-humanoid-robot-joint-components/ ; https://www.rivcut.com/robotics ; https://www.dakingsrapid.com/en_us/humanoid-robot-joint-cnc-machining-tolerances-specs/,"This is the commercially-correct query shape for this object: fragmented SERP, no giant platform, multiple specialist CNC shops already run dedicated content pages here. Confirms object-first, machining-service-framed page architecture is viable and already imitated by competitors."
Q004,OBJ02,robot actuator housing,robot actuator housing,US,object,mixed,"Mix of patents, humanoid-actuator-manufacturer listicles, and 2 dedicated CNC housing-machining pages",none observed,moderate - RivCut and DAXIN have dedicated actuator-housing pages,rivcut.com; daxincnc.com; yijinsolution.com; firgelli.com,https://www.rivcut.com/cnc-machining/seattle/robotics/actuator-housings/ ; https://daxincnc.com/resources/humanoid-robot-actuator-housing-machining/,Bare object term already more commercial than joint housing bare term - actuator housing content marketing is more mature.
Q005,OBJ02,robot actuator housing,robot actuator housing manufacturer,US,supplier,mixed,"Dominated by integrated-actuator-module manufacturers (motor+gearbox+drive in one unit) and directory/listicle pages (Thomasnet, Valen Tech top-15)",none observed,"present but component-brand-heavy, not job-shop-heavy",cubemars.com; hebirobotics.com; myactuator.com; thomasnet.com; valen-tech.com,https://xtjcnc.com/blog/industry-insights/best-robot-actuator-companies-in-2026/ ; https://www.thomasnet.com/suppliers/usa/robotic-actuators-340703,"Same manufacturer-query pattern as OBJ01: pulls toward assembled-actuator sellers, not housing-machining-only shops. XTJ CNC is the one job-shop exception found (explicit DFM/no-MOQ CNC housing service)."
Q006,OBJ02,robot actuator housing,custom robot actuator housing machining,US,process,technical,Mostly academic/open-source humanoid-robot papers (arxiv) plus 2 dedicated CNC-shop housing pages,none observed,"present - RivCut, DAXIN",arxiv.org; rivcut.com; daxincnc.com,https://www.rivcut.com/cnc-machining/dallas/robotics/actuator-housings/ ; https://daxincnc.com/resources/humanoid-robot-actuator-housing-machining/,"RivCut runs the SAME actuator-housing page templated across many US cities (Seattle, Dallas, etc.) - a programmatic local-SEO pattern worth noting as a competitor tactic, not necessarily proof of city-level search volume."
Q007,OBJ03,harmonic reducer housing,harmonic reducer housing manufacturer,US,supplier,commercial,"Dominated by harmonic-REDUCER (gearbox) component manufacturers/distributors, not housing-machining shops",none observed,weak for machining-only intent; strong for component intent,harmonicdrive.net; wanshsindrive.com; sango-automation.com; laifualdrive.com; thomasnet.com,https://www.harmonicdrive.net/ ; https://www.thomasnet.com/company/harmonic-drive-llc-10046863/profile,"Bare ""harmonic reducer housing manufacturer"" is really a query for the whole gearbox component, not a custom-machined housing shell. Confirms this object needs the machining/CNC qualifier to reach the right buyer."
Q008,OBJ03,harmonic reducer housing,custom harmonic drive housing machining,US,process,technical-commercial,Dedicated CNC-shop technical pages (ptsmake) plus core77 directory listing plus harmonicdrive.net technology pages plus patents,none observed,"present - ptsmake, RMT Products (via Core77)",ptsmake.com; core77.com; harmonicdrive.net,https://www.ptsmake.com/cnc-machined-harmonic-drive-housings-for-humanoid-joints/ ; https://www.core77.com/profiles/RMT-PRODUCTS-LIMITED/Custom-Precision-CNC-Machining-for-Robot-Harmonic-Drive-Parts,"Real but thin dedicated-content niche (fewer specialist pages than joint/actuator housing). Distinct RFQ object (bore tolerances H6/H7, pilot fits) but overlaps heavily with joint/actuator housing buyer - candidate for merge/parent-child rather than fully separate page."
Q009,OBJ04,robot shaft,robot shaft manufacturer CNC,US,supplier,commercial,Dedicated shaft-machining specialist pages plus general robotics-CNC pages plus 1 platform mention (Xometry/Protolabs/Fictiv named inline),"named inline (Xometry, Protolabs) but not ranking as a direct listing in this result set","strong - Dajin Precision, lebometal.com (2 dedicated shaft guides), Rapidaccu, Aztalan",dajinprecision.com; lebometal.com; rapidaccu.com; aztalan.com,https://lebometal.com/cnc-shafts-robotics-automation/ ; https://lebometal.com/custom-cnc-shafts-manufacturer-guide/ ; https://www.dajinprecision.com/customize-cnc-turning-mechanical-parts/motor-shaft,"Strong, fragmented, specialist-dominated. lebometal.com runs 2 separate dedicated shaft pages (general CNC-shaft guide + robotics-specific) - evidence that even within one object, a specialist splits informational vs. robotics-specific framing."
Q010,OBJ04,robot shaft,custom robot shaft machining,US,process,technical-commercial,"Dedicated shaft-machining pages (concentricity/runout focus) plus generic ""custom robot parts"" pages",none observed,"strong - zintilon, fastpreci, cnctal, vmtcnc, falconcncswiss",zintilon.com; fastpreci.com; cnctal.com; vmtcnc.com; falconcncswiss.com,https://www.zintilon.com/industry/robotics/shafts-parts/ ; https://www.fastpreci.com/blog/shaft-machining/ ; https://vmtcnc.com/cnc-machined-shafts/,"Confirms shaft as a legitimate, technically distinct object page (concentricity/runout/Swiss-turning content substance available)."
